,발행기관,표준코드,채권종류,종목명,상장일,발행일,상환일,표면이자율,발행금액 (백만),상장잔액 (백만),채권유형
,한국주택금융공사,KR354415GC60,사회적채권,한국주택금융공사MBS2022-12(1-4)(사),"2022/06/27","2022/06/21","2027/06/21","4.29000","320,000","320,000",특수채
,한국주택금융공사,KR354415GC78,사회적채권,한국주택금융공사MBS2022-15(1-7)(사),"2022/07/28","2022/07/22","2037/07/22","4.10700","80,000","80,000",특수채
,한국주택금융공사,KR354415GC86,사회적채권,한국주택금융공사MBS2022-17(1-4)(사),"2022/08/29","2022/08/23","2027/08/23","4.00000","230,000","230,000",특수채
,한국주택금융공사,KR354416G940,사회적채권,한국주택금융공사MBS2019-9(1-8)(사),"2019/04/29","2019/04/23","2039/04/23","2.01000","20,000","20,000",특수채
,한국주택금융공사,KR354416G9A6,사회적채권,한국주택금융공사MBS2019-20(1-8)(사),"2019/10/31","2019/10/25","2039/10/25","1.94400","30,000","30,000",특수채
,한국주택금융공사,KR354416G9B4,사회적채권,한국주택금융공사MBS2019-23(1-7)(사),"2019/11/25","2019/11/19","2034/11/19","2.09700","80,000","80,000",특수채
,한국주택금융공사,KR354416G9C2,사회적채권,한국주택금융공사MBS2019-26(1-8)(사),"2019/12/27","2019/12/20","2039/12/20","1.73800","40,000","40,000",특수채
,한국주택금융공사,KR354416GA12,사회적채권,한국주택금융공사MBS2020-2(1-8)(사),"2020/01/23","2020/01/17","2040/01/17","1.95700","40,000","40,000",특수채
,한국주택금융공사,KR354416GA20,사회적채권,한국주택금융공사MBS2020-5(1-8)(사),"2020/02/20","2020/02/14","2040/02/14","1.84100","50,000","50,000",특수채
,한국주택금융공사,KR354416GA38,사회적채권,한국주택금융공사MBS2020-8(1-8)(사),"2020/03/19","2020/03/13","2040/03/13","1.62500","20,000","20,000",특수채
,한국주택금융공사,KR354416GA46,사회적채권,한국주택금융공사MBS2020-11(1-4)(사),"2020/04/27","2020/04/21","2025/04/21","1.56000","180,000","180,000",특수채
,한국주택금융공사,KR354416GA53,사회적채권,한국주택금융공사MBS2020-15(1-4)(사),"2020/05/25","2020/05/19","2025/05/19","1.70400","310,000","310,000",특수채
,한국주택금융공사,KR354416GA61,사회적채권,한국주택금융공사MBS2020-19(1-7)(사),"2020/06/22","2020/06/16","2035/06/16","1.79200","90,000","90,000",특수채
,한국주택금융공사,KR354416GA79,사회적채권,한국주택금융공사MBS2020-24(1-8)(사),"2020/07/27","2020/07/21","2040/07/21","1.79800","20,000","20,000",특수채
,한국주택금융공사,KR354416GA87,사회적채권,한국주택금융공사MBS2020-28(1-8)(사),"2020/08/27","2020/08/21","2040/08/21","1.70200","30,000","30,000",특수채
,한국주택금융공사,KR354416GA95,사회적채권,한국주택금융공사MBS2020-31(1-4)(사),"2020/09/25","2020/09/22","2040/09/22","1.74200","60,000","60,000",특수채
,한국주택금융공사,KR354416GAA5,사회적채권,한국주택금융공사MBS2020-34(1-3)(사),"2020/11/02","2020/10/27","2030/10/27","1.71600","180,000","180,000",특수채
,한국주택금융공사,KR354416GAB3,사회적채권,한국주택금융공사MBS2020-37(1-3)(사),"2020/11/30","2020/11/24","2030/11/24","1.88100","180,000","180,000",특수채
,한국주택금융공사,KR354416GAC1,사회적채권,한국주택금융공사MBS2020-39(1-7)(사),"2020/12/17","2020/12/11","2035/12/11","1.89500","90,000","90,000",특수채
,한국주택금융공사,KR354416GB11,사회적채권,한국주택금융공사MBS2021-2(1-7)(사),"2021/01/28","2021/01/22","2036/01/22","2.00700","110,000","110,000",특수채
,한국주택금융공사,KR354416GB37,사회적채권,한국주택금융공사MBS2021-6(1-7)(사),"2021/04/01","2021/03/26","2036/03/26","2.37200","110,000","110,000",특수채
,한국주택금융공사,KR354416GB45,사회적채권,한국주택금융공사MBS2021-8(1-7)(사),"2021/04/19","2021/04/13","2036/04/13","2.41500","130,000","130,000",특수채
,한국주택금융공사,KR354416GB52,사회적채권,한국주택금융공사MBS2021-12(1-3)(사),"2021/05/31","2021/05/25","2024/05/25","1.30600","230,000","230,000",특수채
,한국주택금융공사,KR354416GB60,사회적채권,한국주택금융공사MBS2021-14(1-7)(사),"2021/07/01","2021/06/25","2036/06/25","2.51100","110,000","110,000",특수채
,한국주택금융공사,KR354416GC28,사회적채권,한국주택금융공사MBS2022-3(1-6)(사),"2022/02/28","2022/02/22","2032/02/22","3.29300","120,000","120,000",특수채
,한국주택금융공사,KR354416GC44,사회적채권,한국주택금융공사MBS2022-7(1-6)(사),"2022/04/25","2022/04/19","2032/04/19","4.04600","50,000","50,000",특수채
