CO_NM,CODE,SIZE
폴루스바이오팜,007630,10.695669739563202
폴루스바이오팜,007630,10.614017670252029
폴루스바이오팜,007630,10.71667611901732
폴루스바이오팜,007630,11.170070566802451
SK머티리얼즈,036490,11.71551955418117
SK머티리얼즈,036490,12.102262249184664
펄어비스,263750,12.045836685384037
에코프로비엠,247540,12.143463277743832
스튜디오드래곤,253450,11.97868714976534
천보,278280,11.746775753010702
CJ ENM,035760,12.775115810664792
리노공업,058470,11.70821678551107
위메이드,112040,11.82433817102697
씨젠,096530,12.194313845067583
에코프로,086520,11.90302492734085
JYP Ent.,035900,11.428359727518849
에스티팜,237690,11.69990415658157
동진쎄미켐,005290,11.985038683897914
LX세미콘,108320,12.126459100552859
LX세미콘,108320,11.799223054408499
에스엠,041510,11.867959665638033
원익IPS,240810,12.07774584337254
오스템임플란트,048260,11.92081318457287
티씨케이,064760,11.605677009048645
휴젤,145020,11.921055001084426
동화기업,025900,12.063717441159056
파라다이스,034230,12.230398241967618
레고켐바이오,141080,11.456099335217088
피엔티,137400,11.806663887664655
이오테크닉스,039030,11.720287051520762
고영,098460,11.575799992684743
하림지주,003380,12.054570254511445
하림지주,003380,12.306739195133765
메가스터디교육,215200,11.840592665271712
컴투스,078340,12.134593290959828
아프리카TV,067160,11.61755626118676
넥슨지티,041140,11.182469066209782
지씨셀,144510,10.821572786824264
지씨셀,144510,11.829539588047266
NICE평가정보,030190,11.615095750670818
안랩,053800,11.505958120825813
동국제약,086450,11.800908046266585
현대바이오,048410,10.858832368944595
현대바이오,048410,10.71035369075815
오스코텍,039200,10.585692118952437
SFA반도체,036540,11.71271057187171
SFA반도체,036540,11.793300323971186
와이지엔터테인먼트,122870,11.647882036840372
차바이오텍,085660,11.617509540120622
콜마비앤에이치,200130,11.674202723642368
제넥신,095700,11.70397350052368
삼천당제약,000250,11.38444459301756
아이티엠반도체,084850,11.77489862748705
파마리서치,214450,11.605977031996904
이녹스첨단소재,272290,11.666186227929456
웹젠,069080,11.793780812246188
서울반도체,046890,11.986770288470645
KG ETS,151860,11.644789024781502
엔케이맥스,182400,10.796125807096113
엔케이맥스,182400,11.31032681365607
아난티,025980,11.837171547719882
RFHIC,218410,11.591554249774926
RFHIC,218410,10.173043965856763
코리아센터,290510,11.876503892067616
서진시스템,178320,11.846231761226273
코웰패션,033290,11.862529998896154
NHN한국사이버결제,060250,11.605680133657543
파트론,091700,11.845881948251751
CJ프레시웨이,051500,12.080947690114945
메드팩토,235980,11.105046469428832
상상인,038540,11.444988483683176
상아프론테크,089980,11.435556058337712
아미코젠,092040,11.481141630984979
코미팜,041960,11.077739843305144
네패스,033640,11.663839370522883
신흥에스이씨,243840,11.577558133931014
에스앤에스텍,101490,11.311843787268158
코엔텍,029960,11.309650275071672
삼표시멘트,038500,12.023719164858601
삼표시멘트,038500,12.08237827346884
사람인에이치알,143240,11.263557853511077
원익머트리얼즈,104830,11.64400068314532
셀리버리,268600,11.052046042866577
인선이엔티,060150,11.655583060830889
다우데이타,032190,11.682468397980617
티케이케미칼,104480,12.115265410630364
동국S&C,100130,11.54902737515262
엘비세미콘,061970,11.735965588585854
한국기업평가,034950,11.108017367950628
국일제지,078130,11.141703344614974
에이스테크,088800,11.473948761646914
유비쿼스홀딩스,078070,11.27090895713338
인트론바이오,048530,11.19474559251046
메디포스트,078160,11.418210712810467
원익홀딩스,030530,11.929679718056686
인터플렉스,051370,11.53180521845294
크리스탈지노믹스,083790,11.428470904444367
카페24,042000,11.509858909177444
톱텍,108230,11.57497842869919
노바렉스,194700,11.403327081174055
클리오,237880,11.388746342911949
AP시스템,265520,11.667267900070092
비츠로셀,082920,11.321800090188807
케이티알파,036030,11.578348680692226
한국캐피탈,023760,12.54903577551276
와이솔,122990,11.534298215582847
에스티큐브,052020,10.547199858703234
오이솔루션,138080,11.300302390674263
나스미디어,089600,11.543231070259191
위닉스,044340,11.486926953281124
갤럭시아머니트리,094480,11.479006581957956
갤럭시아머니트리,094480,11.366270855479145
멀티캠퍼스,067280,11.393472666592203
멀티캠퍼스,067280,10.976667208192783
대아티아이,045390,11.31310292276609
슈피겐코리아,192440,11.515470189988372
알서포트,131370,10.928977251691892
엔지켐생명과학,183490,11.44892143426749
한국정보인증,053300,11.309568397374044
지니뮤직,043610,10.255575536905875
지니뮤직,043610,11.44306179594255
에이치엘사이언스,239610,11.063029049422095
현대바이오랜드,052260,11.268181193293021
현대바이오랜드,052260,11.167240038224039
현대바이오랜드,052260,11.18591256907892
농우바이오,054050,11.460840763153302
네오팜,092730,11.169914507504918
현대에버다임,041440,11.427863760535631
현대에버다임,041440,11.392382235083454
인크로스,216050,11.276610030168229
텔콘RF제약,200230,10.680800421982262
텔콘RF제약,200230,11.22911664198939
KCC건설,021320,12.044545251725285
유틸렉스,263050,10.982295877692614
영풍정밀,036560,11.60744005924935
SBS콘텐츠허브,046140,11.331589852120262
나노엔텍,039860,10.836201108686865
신화인터텍,056700,11.261424482624546
에스엠코어,007820,10.856902591554872
에스엠코어,007820,10.994699235456764
SGC이테크건설,016250,11.772545480271596
큐캐피탈,016600,11.166488361172059
메이슨캐피탈,021880,10.827452202391552
KCI,036670,11.004625919396682
나우IB,293580,11.06121882915011
나우IB,293580,10.724353145919997
오리콤,010470,11.165019428188684
코리아에셋투자증권,190650,11.48089676473083
리더스 기술투자,019570,10.958002034991445
리더스 기술투자,019570,10.335924180855525
