CO_NM,CODE,NOE
SG글로벌,001380,-5.35
모나미,005360,16.81
한국전자홀딩스,006200,20.77
티웨이홀딩스,004870,86.33
SUN&L,002820,-15.23
KR모터스,000040,-21.82
대림통상,006570,5.19
인디에프,014990,-44.88
화천기계,010660,4.72
티에이치엔,019180,16.47
이스타코,015020,0.27
케이비아이동국실업,001620,-17.37
원림,005820,5.33
SJM,123700,2.57
태양금속,004100,-16.37
진양폴리,010640,20.79
비비안,002070,-15.20
WISCOM,024070,0.01
씨아이테크,004920,5.29
형지엘리트,093240,12.63
주연테크,044380,-5.12
갤럭시아에스엠,011420,16.68
SJM홀딩스,025530,2.35
센트럴인사이트,012600,-10.36
우진아이엔에스,010400,-2.30
동양고속,084670,-24.69
이화산업,000760,0.57
동원수산,030720,17.91
미래아이앤지,007120, 
동원금속,018500,31.61
한성기업,003680,-15.75
경인전자,009140,7.80
태원물산,001420,-1.49
SHD,001770,20.88
금호전기,001210,-65.04
삼화전자,011230,-67.34
한국주강,025890,3.60
한솔PNS,010420, 
코아스,071950,-26.18
일정실업,008500,-53.88
비케이탑스,030790,-257.05
폴루스바이오팜,007630,0
SK머티리얼즈,036490,0
펄어비스,263750,10.09
에코프로비엠,247540,18.50
스튜디오드래곤,253450,8.13
천보,278280,18.12
CJ ENM,035760,1.98
리노공업,058470,28.84
위메이드,112040,57.80
씨젠,096530,43.26
에코프로,086520,-30.19
JYP Ent.,035900,35.84
에스티팜,237690,2.69
동진쎄미켐,005290,24.52
LX세미콘,108320,46.04
에스엠,041510,28.13
원익IPS,240810,11.25
오스템임플란트,048260,17.64
티씨케이,064760,27.03
휴젤,145020,7.01
동화기업,025900,5.95
파라다이스,034230,-5.31
레고켐바이오,141080, 
피엔티,137400,31.36
이오테크닉스,039030,16.64
고영,098460,15.69
하림지주,003380,14.98
메가스터디교육,215200,29.49
컴투스,078340,10.81
아프리카TV,067160,37.88
넥슨지티,041140,0
지씨셀,144510,17.76
NICE평가정보,030190,18.99
안랩,053800,4.36
동국제약,086450,12.25
현대바이오,048410,-42.09
오스코텍,039200,-58.86
SFA반도체,036540,15.73
와이지엔터테인먼트,122870,2.18
차바이오텍,085660,0.17
콜마비앤에이치,200130,15.53
제넥신,095700,-8.81
삼천당제약,000250,-3.86
아이티엠반도체,084850,0.38
파마리서치,214450,14.33
이녹스첨단소재,272290,36.28
웹젠,069080,15.14
서울반도체,046890,5.62
KG ETS,151860,67.14
엔케이맥스,182400,-45.83
아난티,025980,-2.09
RFHIC,218410,1.40
코리아센터,290510,0.87
서진시스템,178320,3.69
코웰패션,033290,14.81
NHN한국사이버결제,060250,17.19
파트론,091700,16.02
CJ프레시웨이,051500,22.21
메드팩토,235980, 
상상인,038540,14.45
상아프론테크,089980,5.93
아미코젠,092040,-32.91
코미팜,041960,-4.92
네패스,033640,-21.97
신흥에스이씨,243840,8.74
에스앤에스텍,101490,6.83
코엔텍,029960,26.43
삼표시멘트,038500,2.69
사람인에이치알,143240,22.74
원익머트리얼즈,104830,13.65
셀리버리,268600, 
인선이엔티,060150,6.89
다우데이타,032190,10.79
티케이케미칼,104480,69.21
동국S&C,100130,6.74
엘비세미콘,061970,15.58
한국기업평가,034950,21.58
국일제지,078130,-12.54
에이스테크,088800,-40.49
유비쿼스홀딩스,078070,8.20
인트론바이오,048530,14.82
메디포스트,078160,-9.53
원익홀딩스,030530,7.76
인터플렉스,051370,18.09
크리스탈지노믹스,083790,-12.82
카페24,042000,-21.40
톱텍,108230,-17.46
노바렉스,194700,19.40
클리오,237880,5.64
AP시스템,265520,36.79
비츠로셀,082920,10.31
케이티알파,036030,1.36
한국캐피탈,023760,18.92
와이솔,122990,7.11
에스티큐브,052020,-51.61
오이솔루션,138080,2.70
나스미디어,089600,15.24
위닉스,044340,7.42
갤럭시아머니트리,094480,3.36
멀티캠퍼스,067280,18.46
대아티아이,045390,4.09
슈피겐코리아,192440,9.38
알서포트,131370,19.64
엔지켐생명과학,183490,-16.86
한국정보인증,053300,5.86
지니뮤직,043610, 
에이치엘사이언스,239610, 
현대바이오랜드,052260,-7.49
농우바이오,054050,3.26
네오팜,092730,13.51
현대에버다임,041440,-8.29
인크로스,216050,21.26
텔콘RF제약,200230,-63.57
KCC건설,021320,4.08
유틸렉스,263050,-46.17
영풍정밀,036560,4.50
SBS콘텐츠허브,046140,9.26
나노엔텍,039860,11.22
신화인터텍,056700,2.40
에스엠코어,007820,1.66
SGC이테크건설,016250,38.80
큐캐피탈,016600,-5.88
메이슨캐피탈,021880,-3.30
KCI,036670,18.95
나우IB,293580,13.68
오리콤,010470,10.62
코리아에셋투자증권,190650,14.18
리더스 기술투자,019570,-21.66
