CODE,CO_NM,major_hldr,minor_hldr
005250,녹십자홀딩스,0.5068,0.04
082640,동양생명,0.754,0.02
214320,이노션,0.287,0.03
002840,미원상사,0.5882000000000001,0.03
032350,롯데관광개발,0.47240000000000004,0.04
009420,한올바이오파마,0.31,0.05
014830,유니드,0.45439999999999997,0.04
013890,지누스,0.3884,0.04
005880,대한해운,0.4936,0.04
249420,일동제약,0.46009999999999995,0.05
069260,휴켐스,0.43420000000000003,0.03
114090,GKL,0.51,0.04
011000,진원생명과학,0.07980000000000001,0.09
089590,제주항공,0.5256000000000001,0.03
010050,우리종금,0.5875,0.04
023590,다우기술,0.4679,0.03
003540,대신증권,0.19010000000000002,0.04
005440,현대그린푸드,0.384,0.04
020000,한섬,0.3464,0.04
039130,하나투어,0.2812,0.06
004490,세방전지,0.4155,0.02
004690,삼천리,0.39189999999999997,0.03
241590,화승엔터프라이즈,0.7197,0.02
272450,진에어,0.5492,0.03
001680,대상,0.5391,0.04
192080,더블유게임즈,0.43479999999999996,0.04
003530,한화투자증권,0.5382,0.05
003850,보령제약,0.5381,0.03
005690,파미셀,0.0928,0.08
007700,F&F홀딩스,0.9170999999999999,
105630,한세실업,0.5666,0.02
006120,SK디스커버리,0.5104,0.04
000640,동아쏘시오홀딩스,0.3032,0.04
192650,드림텍,0.6157,0.03
192820,코스맥스,0.0,0.05
009970,영원무역홀딩스,0.4625,0.02
064960,SNT모티브,0.41100000000000003,0.04
000070,삼양홀딩스,0.4154,
057050,현대홈쇼핑,0.4082,0.03
003000,부광약품,0.217,0.05
003030,세아제강지주,0.6487999999999999,0.02
210980,SK디앤디,0.34149999999999997,0.02
034310,NICE,0.9594,0.02
097520,엠씨넥스,0.28,0.06
007340,디티알오토모티브,0.5089,0.02
001430,세아베스틸,0.6265,0.03
085620,미래에셋생명,0.4743,0.02
003470,유안타증권,0.5743,0.03
005090,SGC에너지,0.5687,0.03
001060,JW중외제약,0.45,0.05
003280,흥아해운,0.8484999999999999,0.01
170900,동아에스티,0.2459,0.05
002240,고려제강,0.6776000000000001,0.02
004430,송원산업,0.3563,0.04
017810,풀무원,0.5438000000000001,0.01
005180,빙그레,0.4089,0.04
007810,코리아써키트,0.9506999999999999,0.04
082740,HSD엔진,0.3353,0.06
093050,LF,0.47740000000000005,0.04
007690,국도화학,0.2823,0.04
123890,한국자산신탁,0.5362,
001470,삼부토건,0.0967,0.07
011930,신성이엔지,0.21050000000000002,0.07
034830,한국토지신탁,0.3546,0.04
306200,세아제강,0.6286,0.03
007660,이수페타시스,0.2645,
007570,일양약품,0.2658,0.06
005420,코스모화학,0.3109,0.06
005950,이수화학,0.2818,0.06
003580,넥스트사이언스,0.0625,0.08
037560,LG헬로비전,0.5,0.03
145990,삼양사,0.6414,0.02
002320,한진,0.27449999999999997,0.04
001530,DI동일,0.1916,0.03
030610,교보증권,0.7308,0.02
286940,롯데정보통신,0.6496999999999999,0.02
161000,애경케미칼,0.6631,0.03
322000,현대에너지솔루션,1.0714,0.04
003070,코오롱글로벌,0.8289,0.02
004890,동일산업,0.5642,0.02
071840,롯데하이마트,0.6539,0.03
012630,HDC,0.3857,0.05
002900,TYM,0.6314,0.05
115390,락앤락,0.6890999999999999,0.02
138490,코오롱플라스틱,0.6670999999999999,0.03
053210,스카이라이프,0.5,0.04
006390,한일현대시멘트,0.7973,0.01
084010,대한제강,0.4542,0.04
068400,SK렌터카,0.7295,0.01
058650,세아홀딩스,0.8998,0.06
108670,LX하우시스,0.301,0.06
008490,서흥,0.5277000000000001,0.03
018250,애경산업,0.6335000000000001,0.03
281820,케이씨텍,0.5042,0.03
002270,롯데푸드,,
092220,KEC,0.3453,0.06
016800,퍼시스,1.0942,0.09
226320,잇츠한불,0.6159,0.01
130660,한전산업,0.31,0.03
071320,지역난방공사,0.6463,0.01
033270,유나이티드제약,0.37,0.04
007460,에이프로젠 MED,0.20440000000000003,0.07
016590,신대양제지,0.5433,0.02
001510,SK증권,0.19440000000000002,0.07
122900,아이마켓코리아,0.4311,0.04
005500,삼진제약,0.1285,0.05
015860,일진홀딩스,0.5579999999999999,0.02
003220,대원제약,0.3872,0.04
003300,한일홀딩스,1.3747999999999998,0.01
000050,경방,0.5975,0.01
077970,STX엔진,0.0,0.01
009290,광동제약,0.1764,0.04
024720,한국콜마홀딩스,0.4435,0.03
293480,하나제약,0.5885,0.03
002960,한국쉘석유,0.5385,0.04
000480,조선내화,1.2076,0.08
107590,미원홀딩스,0.7287,
002150,도화엔지니어링,0.4788,0.03
001500,현대차증권,0.4576,0.04
055490,테이팩스,0.45399999999999996,0.04
011700,한신기계,0.2094,
026890,디피씨,0.187,0.06
016580,환인제약,0.21899999999999997,0.03
213500,한솔제지,0.3056,0.04
001790,대한제당,0.9676,0.03
271980,제일약품,0.6228,0.03
004250,NPC,0.6076,0.03
002990,금호건설,0.4824,0.04
002020,코오롱,0.5214,0.04
001630,종근당홀딩스,0.46020000000000005,0.03
104700,한국철강,0.5266,0.03
084690,대상홀딩스,0.7044,0.03
298690,에어부산,0.4289,0.04
001250,GS글로벌,0.5082,0.04
002710,TCC스틸,0.3655,0.04
214330,금호에이치티,0.2483,0.06
000490,대동,0.5544,0.05
081000,일진다이아,0.5522,0.04
001780,알루코,0.49560000000000004,0.04
037710,광주신세계,0.625,0.01
009680,모토닉,0.3883,0.01
001520,동양,0.3005,0.04
000020,동화약품,0.33659999999999995,0.05
101060,SBS미디어홀딩스,,
095720,웅진씽크빅,0.6301,0.03
005810,풍산홀딩스,0.4497,0.04
009410,태영건설,0.49200000000000005,0.03
001200,유진투자증권,0.29969999999999997,0.05
020120,키다리스튜디오,0.4617,0.02
006060,화승인더,0.33590000000000003,0.05
103590,일진전기,0.5972999999999999,0.03
004380,삼익THK,0.6504000000000001,0.02
024090,디씨엠,0.4443,0.02
036530,SNT홀딩스,0.6331,0.01
029460,케이씨,0.4067,0.04
005960,동부건설,0.5625,0.03
105840,우진,0.31579999999999997,0.06
092230,KPX홀딩스,0.479,0.02
084680,이월드,0.706,0.02
009580,무림P&P,0.6697,0.03
002810,삼영무역,0.4451,0.02
001570,금양,0.4941,0.04
077500,유니퀘스트,0.4482,0.04
